CityLmsCode,CityLmsName,NumOfRooms,Floor,TotalArea,ValidityDate,CompanyName,StatusName,StatusChangeDate,PropertyTypeName
31,OFAQIM,2,2,54,23/05/2024,Amigur,Free,30/01/2024,Apartment
874,MIGDAL HAEMEQ,2,0,46.7,23/05/2024,Amigur,Free,21/09/2023,Apartment
1031,SEDEROT,4,4,90,23/05/2024,Amigur,Free,17/08/2023,Apartment
874,MIGDAL HAEMEQ,3,3,70,23/05/2024,Amigur,Free,21/01/2024,Apartment
31,OFAQIM,3,4,54,23/05/2024,Amigur,Free,13/06/2023,Apartment
31,OFAQIM,2,2,44.5,23/05/2024,Amigur,Free,01/02/2023,Apartment
246,NETIVOT,2,2,52,23/05/2024,Amigur,Free,24/12/2023,Apartment
31,OFAQIM,2,3,55,23/05/2024,Amigur,Free,24/01/2023,Apartment
31,OFAQIM,2,1,42,23/05/2024,Amigur,Free,06/02/2024,Apartment
2200,DIMONA,1.5,3,50,23/05/2024,Amidar,Free,13/06/2023,Apartment
831,YEROHAM,3,3,72,23/05/2024,Amidar,Free,12/01/2022,Apartment
831,YEROHAM,3,1,60,23/05/2024,Amidar,Free,31/12/2023,Apartment
1061,NOF HAGALIL,2,2,45,23/05/2024,Amidar,Free,25/07/2023,Apartment
2200,DIMONA,3.5,3,72.6,23/05/2024,Amidar,Free,01/02/2024,Apartment
2800,QIRYAT SHEMONA,1,2,49,23/05/2024,Amidar,Free,28/08/2023,Apartment
812,SHELOMI,3,1,71,23/05/2024,Amidar,Free,22/01/2023,Apartment
1061,NOF HAGALIL,2,2,46.9,23/05/2024,Amidar,Free,09/01/2024,Apartment
2200,DIMONA,3,3,54,23/05/2024,Amidar,Free,17/07/2023,Apartment
99,MIZPE RAMON,3,2,58.8,23/05/2024,Amidar,Free,01/12/2022,Apartment
2200,DIMONA,3,3,54,23/05/2024,Amidar,Free,16/06/2020,Apartment
7700,AFULA,2,7,54,23/05/2024,Amidar,Free,24/10/2023,Apartment
7700,AFULA,2,7,54,23/05/2024,Amidar,Free,24/10/2023,Apartment
2800,QIRYAT SHEMONA,2,3,57,23/05/2024,Amidar,Free,15/11/2022,Apartment
2800,QIRYAT SHEMONA,2,3,58.1,23/05/2024,Amidar,Free,17/08/2023,Apartment
9000,BE'ER SHEVA,2,3,47,23/05/2024,Amidar,Free,20/11/2023,Apartment
2200,DIMONA,3,4,67.9,23/05/2024,Amidar,Free,29/09/2020,Apartment
2200,DIMONA,2,3,51.9,23/05/2024,Amidar,Free,03/12/2023,Apartment
2630,QIRYAT GAT,2,3,52,23/05/2024,Amidar,Free,13/12/2023,Apartment
99,MIZPE RAMON,3,3,55,23/05/2024,Amidar,Free,09/01/2023,Apartment
1061,NOF HAGALIL,2,4,45,23/05/2024,Amidar,Free,01/07/2021,Apartment
2560,ARAD,1,3,30,23/05/2024,Amidar,Free,06/04/2021,Apartment
2200,DIMONA,3,4,63.9,23/05/2024,Amidar,Free,17/12/2023,Apartment
831,YEROHAM,3,4,72,23/05/2024,Amidar,Free,29/10/2019,Apartment
9000,BE'ER SHEVA,2.5,2,49,23/05/2024,Amidar,Free,08/05/2023,Apartment
831,YEROHAM,2,2,48,23/05/2024,Amidar,Free,16/08/2021,Apartment
31,OFAQIM,2.5,3,54.8,23/05/2024,Amigur,Free,07/11/2022,Apartment
31,OFAQIM,2,4,50.2,23/05/2024,Amigur,Free,19/12/2023,Apartment
31,OFAQIM,2,1,44.5,23/05/2024,Amigur,Free,01/01/2024,Apartment
874,MIGDAL HAEMEQ,2,3,48,23/05/2024,Amigur,Free,20/08/2023,Apartment
2200,DIMONA,3,3,53.1,23/05/2024,Amidar,Free,09/11/2021,Apartment
9000,BE'ER SHEVA,2,3,47,23/05/2024,Amidar,Free,31/07/2023,Apartment
7800,PARDES HANNA-KARKUR,1,1,40.2,23/05/2024,Amidar,Free,03/01/2024,Apartment
9200,BET SHE'AN,3,3,84,23/05/2024,Amidar,Free,31/07/2023,Apartment
2200,DIMONA,2,3,53,23/05/2024,Amidar,Free,31/12/2019,Apartment
1063,MA'ALOT-TARSHIHA,3,1,79,23/05/2024,Amidar,Free,10/02/2024,Apartment
99,MIZPE RAMON,3,2,72,23/05/2024,Amidar,Free,07/09/2023,Apartment
7600,AKKO,1,2,29,23/05/2024,Amidar,Free,02/01/2023,Apartment
1020,OR AQIVA,1.5,2,33,23/05/2024,Amidar,Free,21/05/2023,Apartment
99,MIZPE RAMON,3,3,79,23/05/2024,Amidar,Free,15/11/2015,Apartment
8000,ZEFAT,2,6,47,23/05/2024,Amidar,Free,10/09/2023,Apartment
2800,QIRYAT SHEMONA,2,3,60.6,23/05/2024,Amidar,Free,19/08/2021,Apartment
2800,QIRYAT SHEMONA,3,4,73,23/05/2024,Amidar,Free,03/12/2023,Apartment
2560,ARAD,2,4,38,23/05/2024,Amidar,Free,03/01/2024,Apartment
99,MIZPE RAMON,3,3,55,23/05/2024,Amidar,Free,09/01/2023,Apartment
1061,NOF HAGALIL,2,4,45,23/05/2024,Amidar,Free,08/08/2023,Apartment
2800,QIRYAT SHEMONA,2,2,61.7,23/05/2024,Amidar,Free,08/10/2023,Apartment
3611,QIRYAT ARBA,3,3,86,23/05/2024,Amidar,Free,19/03/2023,Apartment
9200,BET SHE'AN,3,4,70,23/05/2024,Amidar,Free,02/02/2023,Apartment
2800,QIRYAT SHEMONA,3,6,73,23/05/2024,Amidar,Free,15/02/2023,Apartment
2800,QIRYAT SHEMONA,2,5,58.5,23/05/2024,Amidar,Free,27/08/2023,Apartment
9000,BE'ER SHEVA,2,2,45,23/05/2024,Amidar,Free,25/02/2022,Apartment
2200,DIMONA,2,3,47,23/05/2024,Amidar,Free,09/03/2021,Apartment
2200,DIMONA,2,3,44,23/05/2024,Amidar,Free,07/07/2020,Apartment
2800,QIRYAT SHEMONA,2,3,57,23/05/2024,Amidar,Free,14/11/2022,Apartment
1063,MA'ALOT-TARSHIHA,2,3,46,23/05/2024,Amidar,Free,23/07/2023,Apartment
831,YEROHAM,2,1,48,23/05/2024,Amidar,Free,23/03/2023,Apartment
99,MIZPE RAMON,3,2,79,23/05/2024,Amidar,Free,27/02/2023,Apartment
2200,DIMONA,2,2,50,23/05/2024,Amidar,Free,01/05/2022,Apartment
2800,QIRYAT SHEMONA,3,4,66,23/05/2024,Amidar,Free,29/03/2023,Apartment
9000,BE'ER SHEVA,1,2,30,23/05/2024,Amidar,Free,12/12/2023,Apartment
31,OFAQIM,2,2,49,23/05/2024,Amigur,Free,01/05/2022,Apartment
1031,SEDEROT,4,4,90,23/05/2024,Amigur,Free,07/02/2024,Apartment
7100,ASHQELON,1,2,31.5,23/05/2024,Amigur,Free,11/01/2023,Apartment
31,OFAQIM,2,2,54,23/05/2024,Amigur,Free,11/04/2022,Apartment
874,MIGDAL HAEMEQ,1,1,38,23/05/2024,Amigur,Free,01/02/2024,Apartment
2800,QIRYAT SHEMONA,1,3,51.5,23/05/2024,Amidar,Free,06/09/2023,Apartment
2560,ARAD,2,4,47,23/05/2024,Amidar,Free,28/02/2022,Apartment
1063,MA'ALOT-TARSHIHA,3,4,65,23/05/2024,Amidar,Free,12/11/2023,Apartment
2200,DIMONA,4,3,76.6,23/05/2024,Amidar,Free,29/07/2018,Apartment
2200,DIMONA,2,4,48,23/05/2024,Amidar,Free,29/06/2021,Apartment
2200,DIMONA,4,4,89,23/05/2024,Amidar,Free,05/01/2020,Apartment
2200,DIMONA,2,3,48,23/05/2024,Amidar,Free,29/12/2021,Apartment
9000,BE'ER SHEVA,2.5,2,48,23/05/2024,Amidar,Free,27/12/2023,Apartment
9000,BE'ER SHEVA,2,2,48,23/05/2024,Amidar,Free,05/09/2022,Apartment
2800,QIRYAT SHEMONA,2,2,67.5,23/05/2024,Amidar,Free,15/06/2023,Apartment
2200,DIMONA,2,2,48,23/05/2024,Amidar,Free,05/07/2022,Apartment
2200,DIMONA,3,3,53.1,23/05/2024,Amidar,Free,15/08/2023,Apartment
9200,BET SHE'AN,3,4,65,23/05/2024,Amidar,Free,29/10/2023,Apartment
2560,ARAD,1,4,30,23/05/2024,Amidar,Free,19/09/2023,Apartment
9200,BET SHE'AN,3,3,84,23/05/2024,Amidar,Free,24/12/2023,Apartment
2560,ARAD,2,4,52,23/05/2024,Amidar,Free,25/07/2023,Apartment
2200,DIMONA,3,3,54,23/05/2024,Amidar,Free,02/08/2021,Apartment
2800,QIRYAT SHEMONA,2,3,62.7,23/05/2024,Amidar,Free,04/07/2023,Apartment
7700,AFULA,2,2,46,23/05/2024,Amidar,Free,15/05/2022,Apartment
7700,AFULA,2,2,46,23/05/2024,Amidar,Free,15/05/2022,Apartment
2560,ARAD,2,3,54,23/05/2024,Amidar,Free,22/06/2023,Apartment
2200,DIMONA,3,2,58,23/05/2024,Amidar,Free,25/10/2021,Apartment
9000,BE'ER SHEVA,2.5,1,42.4,23/05/2024,Amidar,Free,07/11/2022,Apartment
1061,NOF HAGALIL,3,3,53.3,23/05/2024,Amidar,Free,29/08/2022,Apartment
99,MIZPE RAMON,3,1,72,23/05/2024,Amidar,Free,14/12/2020,Apartment
1061,NOF HAGALIL,1,4,31.27,23/05/2024,Amidar,Free,09/05/2023,Apartment
3611,QIRYAT ARBA,3,3,75,23/05/2024,Amidar,Free,15/10/2023,Apartment
4100,QAZRIN,3,2,75,23/05/2024,Co. LTD,Free,02/01/2023,Apartment
31,OFAQIM,3,2,54,23/05/2024,Amigur,Free,07/11/2023,Apartment
31,OFAQIM,2,2,49,23/05/2024,Amigur,Free,29/11/2022,Apartment
31,OFAQIM,2,2,55,23/05/2024,Amigur,Free,03/12/2023,Apartment
31,OFAQIM,3,3,64,23/05/2024,Amigur,Free,09/08/2022,Apartment
246,NETIVOT,2,4,52,23/05/2024,Amigur,Free,24/09/2020,Apartment
2200,DIMONA,2,3,47,23/05/2024,Amidar,Free,09/02/2021,Apartment
831,YEROHAM,3,3,72,23/05/2024,Amidar,Free,10/09/2020,Apartment
9000,BE'ER SHEVA,2,4,47,23/05/2024,Amidar,Free,16/03/2020,Apartment
2560,ARAD,2,4,52,23/05/2024,Amidar,Free,08/06/2022,Apartment
2034,HAZOR HAGELILIT,3,3,70,23/05/2024,Amidar,Free,14/04/2022,Apartment
2200,DIMONA,3,4,70,23/05/2024,Amidar,Free,02/11/2022,Apartment
99,MIZPE RAMON,3,4,64.8,23/05/2024,Amidar,Free,18/02/2024,Apartment
9000,BE'ER SHEVA,2.5,1,48.3,23/05/2024,Amidar,Free,03/07/2022,Apartment
2800,QIRYAT SHEMONA,2,4,57,23/05/2024,Amidar,Free,16/03/2023,Apartment
2200,DIMONA,3,3,53.1,23/05/2024,Amidar,Free,16/05/2022,Apartment
9000,BE'ER SHEVA,2,2,51,23/05/2024,Amidar,Free,27/04/2021,Apartment
2630,QIRYAT GAT,2,3,48,23/05/2024,Amidar,Free,07/12/2023,Apartment
7700,AFULA,2,3,46.5,23/05/2024,Amidar,Free,04/04/2021,Apartment
7700,AFULA,2,3,46.5,23/05/2024,Amidar,Free,04/04/2021,Apartment
1061,NOF HAGALIL,1,3,37,23/05/2024,Amidar,Free,10/11/2022,Apartment
1061,NOF HAGALIL,1,5,34,23/05/2024,Amidar,Free,17/12/2023,Apartment
2800,QIRYAT SHEMONA,3,2,63.3,23/05/2024,Amidar,Free,19/06/2023,Apartment
2500,NESHER,2,2,57,23/05/2024,Amidar,Free,10/12/2023,Apartment
2800,QIRYAT SHEMONA,2,4,57,23/05/2024,Amidar,Free,18/05/2023,Apartment
831,YEROHAM,2,2,48,23/05/2024,Amidar,Free,05/04/2022,Apartment
9000,BE'ER SHEVA,3,4,57,23/05/2024,Amidar,Free,08/05/2023,Apartment
9000,BE'ER SHEVA,2,2,53,23/05/2024,Amidar,Free,06/12/2023,Apartment
9200,BET SHE'AN,2,3,63,23/05/2024,Amidar,Free,04/01/2024,Apartment
9000,BE'ER SHEVA,2.5,2,45,23/05/2024,Amidar,Free,21/12/2021,Apartment
2560,ARAD,2,4,38,23/05/2024,Amidar,Free,29/05/2022,Apartment
4100,QAZRIN,1,1,44,23/05/2024,Co. LTD,Free,10/12/2023,Apartment
5000,TEL AVIV - YAFO,1.5,1,31.86,23/05/2024,Halmish,Free,27/11/2022,Apartment
2560,ARAD,2,4,57,23/05/2024,Amidar,Free,03/01/2022,Apartment
2630,QIRYAT GAT,2,4,48,23/05/2024,Amidar,Free,07/01/2024,Apartment
4000,HAIFA,1,3,40,23/05/2024,Shekomuna,Free,01/05/2023,Apartment
4100,QAZRIN,3,2,75,23/05/2024,Co. LTD,Free,24/10/2023,Apartment
3608,MA'ALE EFRAYIM,3,2,77,23/05/2024,Co. LTD,Free,01/01/2021,Apartment
246,NETIVOT,3,3,70,23/05/2024,Amigur,Free,23/11/2023,Apartment
246,NETIVOT,2,3,52,23/05/2024,Amigur,Free,08/12/2022,Apartment
246,NETIVOT,3,4,70,23/05/2024,Amigur,Free,18/09/2023,Apartment
31,OFAQIM,3,1,64,23/05/2024,Amigur,Free,07/05/2023,Apartment
31,OFAQIM,2,1,37,23/05/2024,Amigur,Free,09/03/2022,Apartment
31,OFAQIM,2,2,55,23/05/2024,Amigur,Free,01/03/2023,Apartment
831,YEROHAM,2,3,48,23/05/2024,Amidar,Free,11/04/2021,Apartment
99,MIZPE RAMON,3,4,72,23/05/2024,Amidar,Free,10/10/2023,Apartment
2560,ARAD,2,4,57,23/05/2024,Amidar,Free,16/03/2021,Apartment
1020,OR AQIVA,1.5,2,33,23/05/2024,Amidar,Free,26/11/2023,Apartment
99,MIZPE RAMON,3,3,74,23/05/2024,Amidar,Free,26/02/2023,Apartment
99,MIZPE RAMON,3,2,58.8,23/05/2024,Amidar,Free,20/10/2022,Apartment
1063,MA'ALOT-TARSHIHA,2,3,46,23/05/2024,Amidar,Free,01/08/2022,Apartment
9000,BE'ER SHEVA,2,4,47,23/05/2024,Amidar,Free,18/11/2019,Apartment
2200,DIMONA,3,1,62,23/05/2024,Amidar,Free,15/12/2022,Apartment
9000,BE'ER SHEVA,2,4,47,23/05/2024,Amidar,Free,18/10/2021,Apartment
2200,DIMONA,2,4,48,23/05/2024,Amidar,Free,04/07/2022,Apartment
2200,DIMONA,2,3,48,23/05/2024,Amidar,Free,12/03/2020,Apartment
2800,QIRYAT SHEMONA,2,4,60.6,23/05/2024,Amidar,Free,28/11/2022,Apartment
2200,DIMONA,2,2,46.3,23/05/2024,Amidar,Free,02/03/2023,Apartment
2630,QIRYAT GAT,2,3,52,23/05/2024,Amidar,Free,25/01/2024,Apartment
831,YEROHAM,3,2,73,23/05/2024,Amidar,Free,25/03/2021,Apartment
2200,DIMONA,3,4,63,23/05/2024,Amidar,Free,08/08/2021,Apartment
2200,DIMONA,2.5,2,53.1,23/05/2024,Amidar,Free,11/04/2022,Apartment
2200,DIMONA,3,4,54,23/05/2024,Amidar,Free,27/06/2022,Apartment
2200,DIMONA,3,3,54,23/05/2024,Amidar,Free,30/12/2019,Apartment
9000,BE'ER SHEVA,2,2,52,23/05/2024,Amidar,Free,28/12/2022,Apartment
2200,DIMONA,3,3,53.1,23/05/2024,Amidar,Free,27/12/2020,Apartment
99,MIZPE RAMON,3,4,79,23/05/2024,Amidar,Free,11/10/2020,Apartment
3611,QIRYAT ARBA,3,5,75,23/05/2024,Amidar,Free,29/09/2023,Apartment
1031,SEDEROT,3,3,61,23/05/2024,Amigur,Free,23/03/2023,Apartment
831,YEROHAM,3,4,72,23/05/2024,Amidar,Free,30/08/2020,Apartment
831,YEROHAM,2,3,48,23/05/2024,Amidar,Free,14/12/2021,Apartment
9000,BE'ER SHEVA,2.5,2,45,23/05/2024,Amidar,Free,11/12/2022,Apartment
99,MIZPE RAMON,2.5,1,53.9,23/05/2024,Amidar,Free,29/03/2022,Apartment
2200,DIMONA,2,4,56,23/05/2024,Amidar,Free,14/02/2023,Apartment
99,MIZPE RAMON,3,4,79,23/05/2024,Amidar,Free,03/11/2020,Apartment
99,MIZPE RAMON,5,2,110,23/05/2024,Amidar,Free,26/08/2019,Apartment
8000,ZEFAT,2,3,50,23/05/2024,Amidar,Free,09/03/2023,Apartment
2800,QIRYAT SHEMONA,2,3,60.3,23/05/2024,Amidar,Free,14/09/2023,Apartment
9000,BE'ER SHEVA,2,2,47.9,23/05/2024,Amidar,Free,05/12/2022,Apartment
9000,BE'ER SHEVA,2,4,47,23/05/2024,Amidar,Free,06/01/2022,Apartment
2200,DIMONA,2,2,48,23/05/2024,Amidar,Free,23/03/2023,Apartment
1063,MA'ALOT-TARSHIHA,2,3,46,23/05/2024,Amidar,Free,29/11/2022,Apartment
9000,BE'ER SHEVA,2.5,2,49,23/05/2024,Amidar,Free,15/07/2021,Apartment
7700,AFULA,2,7,49.5,23/05/2024,Amidar,Free,07/12/2021,Apartment
7700,AFULA,2,7,49.5,23/05/2024,Amidar,Free,07/12/2021,Apartment
2200,DIMONA,3,3,54,23/05/2024,Amidar,Free,30/08/2022,Apartment
2200,DIMONA,2.5,1,42,23/05/2024,Amidar,Free,06/12/2023,Apartment
2200,DIMONA,3,3,54,23/05/2024,Amidar,Free,15/02/2021,Apartment
2200,DIMONA,2,4,52,23/05/2024,Amidar,Free,28/07/2020,Apartment
831,YEROHAM,3,3,54,23/05/2024,Amidar,Free,31/10/2021,Apartment
2034,HAZOR HAGELILIT,2,4,48,23/05/2024,Amidar,Free,27/01/2022,Apartment
2034,HAZOR HAGELILIT,2,4,48,23/05/2024,Amidar,Free,11/08/2021,Apartment
831,YEROHAM,2,1,44,23/05/2024,Amidar,Free,09/12/2021,Apartment
9200,BET SHE'AN,3,2,63,23/05/2024,Amidar,Free,28/01/2024,Apartment
9000,BE'ER SHEVA,2.5,1,48,23/05/2024,Amidar,Free,04/07/2023,Apartment
1061,NOF HAGALIL,2,5,50,23/05/2024,Amidar,Free,06/08/2023,Apartment
2610,BET SHEMESH,3,4,87,23/05/2024,Amidar,Free,15/01/2024,Apartment
3608,MA'ALE EFRAYIM,3,2,77,23/05/2024,Co. LTD,Free,01/11/2020,Apartment
2800,QIRYAT SHEMONA,2,5,66,23/05/2024,Amidar,Free,06/09/2022,Apartment
1063,MA'ALOT-TARSHIHA,3,3,54,23/05/2024,Amidar,Free,02/03/2023,Apartment
7700,AFULA,2,3,49,23/05/2024,Amidar,Free,01/08/2021,Apartment
7700,AFULA,2,3,49,23/05/2024,Amidar,Free,01/08/2021,Apartment
9200,BET SHE'AN,3,3,65,23/05/2024,Amidar,Free,01/11/2023,Apartment
831,YEROHAM,3,2,76,23/05/2024,Amidar,Free,13/01/2022,Apartment
2560,ARAD,2,4,38,23/05/2024,Amidar,Free,04/05/2023,Apartment
2200,DIMONA,3,4,74,23/05/2024,Amidar,Free,31/12/2023,Apartment
7600,AKKO,2,4,54,23/05/2024,Amidar,Free,06/06/2023,Apartment
1061,NOF HAGALIL,3,3,48,23/05/2024,Amidar,Free,28/11/2022,Apartment
2610,BET SHEMESH,3,3,81,23/05/2024,Amidar,Free,13/08/2023,Apartment
4100,QAZRIN,2,1,52,23/05/2024,Co. LTD,Free,10/12/2023,Apartment
874,MIGDAL HAEMEQ,3,4,72,23/05/2024,Amigur,Free,31/01/2024,Apartment
1031,SEDEROT,3,3,61,23/05/2024,Amigur,Free,28/12/2022,Apartment
31,OFAQIM,2,3,55,23/05/2024,Amigur,Free,12/03/2023,Apartment
831,YEROHAM,2,3,53,23/05/2024,Amidar,Free,21/07/2021,Apartment
831,YEROHAM,3,3,54,23/05/2024,Amidar,Free,13/06/2022,Apartment
2200,DIMONA,2.5,3,50,23/05/2024,Amidar,Free,31/12/2020,Apartment
831,YEROHAM,3,1,52.7,23/05/2024,Amidar,Free,13/02/2024,Apartment
7700,AFULA,2,2,45.8,23/05/2024,Amidar,Free,15/03/2022,Apartment
7700,AFULA,2,2,45.8,23/05/2024,Amidar,Free,15/03/2022,Apartment
9000,BE'ER SHEVA,2.5,3,42.4,23/05/2024,Amidar,Free,25/04/2023,Apartment
2200,DIMONA,3,3,59,23/05/2024,Amidar,Free,14/05/2020,Apartment
2200,DIMONA,3,4,70,23/05/2024,Amidar,Free,27/04/2021,Apartment
99,MIZPE RAMON,2.5,2,53.9,23/05/2024,Amidar,Free,05/03/2023,Apartment
831,YEROHAM,3,3,60,23/05/2024,Amidar,Free,30/09/2020,Apartment
7700,AFULA,3,3,58.7,23/05/2024,Amidar,Free,13/02/2024,Apartment
7700,AFULA,3,3,58.7,23/05/2024,Amidar,Free,13/02/2024,Apartment
2800,QIRYAT SHEMONA,2,3,67.5,23/05/2024,Amidar,Free,07/11/2021,Apartment
2630,QIRYAT GAT,2,3,48,23/05/2024,Amidar,Free,06/02/2024,Apartment
831,YEROHAM,3,2,65,23/05/2024,Amidar,Free,04/03/2019,Apartment
2200,DIMONA,2,2,50,23/05/2024,Amidar,Free,22/02/2024,Apartment
831,YEROHAM,2,1,48,23/05/2024,Amidar,Free,15/03/2023,Apartment
7700,AFULA,3,4,62.5,23/05/2024,Amidar,Free,14/01/2021,Apartment
7700,AFULA,3,4,62.5,23/05/2024,Amidar,Free,14/01/2021,Apartment
831,YEROHAM,2,3,48,23/05/2024,Amidar,Free,08/08/2023,Apartment
7700,AFULA,2,2,47.1,23/05/2024,Amidar,Free,04/01/2021,Apartment
7700,AFULA,2,2,47.1,23/05/2024,Amidar,Free,04/01/2021,Apartment
831,YEROHAM,3,2,76,23/05/2024,Amidar,Free,28/12/2021,Apartment
831,YEROHAM,3,3,54,23/05/2024,Amidar,Free,24/03/2020,Apartment
2560,ARAD,2.5,4,47,23/05/2024,Amidar,Free,08/07/2021,Apartment
53,ATLIT,3,3,56,23/05/2024,Amidar,Free,23/01/2024,Apartment
9000,BE'ER SHEVA,3.5,3,70,23/05/2024,Amidar,Free,05/09/2023,Apartment
2200,DIMONA,2.5,3,48,23/05/2024,Amidar,Free,21/06/2020,Apartment
4100,QAZRIN,1,0,34,23/05/2024,Co. LTD,Free,01/01/2022,Apartment
4100,QAZRIN,2,2,48,23/05/2024,Co. LTD,Free,01/01/2021,Apartment
31,OFAQIM,2,3,54,23/05/2024,Amigur,Free,03/04/2023,Apartment
2200,DIMONA,3,3,53.1,23/05/2024,Amidar,Free,06/06/2021,Apartment
9000,BE'ER SHEVA,2,3,47,23/05/2024,Amidar,Free,12/11/2023,Apartment
9200,BET SHE'AN,3,3,84,23/05/2024,Amidar,Free,16/11/2023,Apartment
9000,BE'ER SHEVA,2.5,4,54.4,23/05/2024,Amidar,Free,29/12/2020,Apartment
1292,JUDEIDE-MAKER,3,3,71,23/05/2024,Amidar,Free,03/11/2021,Apartment
2200,DIMONA,3,3,62,23/05/2024,Amidar,Free,16/02/2021,Apartment
2200,DIMONA,3,2,53.1,23/05/2024,Amidar,Free,26/09/2023,Apartment
99,MIZPE RAMON,3,2,64.8,23/05/2024,Amidar,Free,20/04/2023,Apartment
831,YEROHAM,2,1,48,23/05/2024,Amidar,Free,06/10/2021,Apartment
99,MIZPE RAMON,3,3,64.8,23/05/2024,Amidar,Free,09/08/2020,Apartment
99,MIZPE RAMON,3,1,65,23/05/2024,Amidar,Free,01/06/2023,Apartment
2200,DIMONA,2,2,46.3,23/05/2024,Amidar,Free,14/02/2024,Apartment
9000,BE'ER SHEVA,2,4,56,23/05/2024,Amidar,Free,20/12/2023,Apartment
2560,ARAD,2,4,38,23/05/2024,Amidar,Free,09/11/2023,Apartment
7700,AFULA,2,4,55.5,23/05/2024,Amidar,Free,15/12/2019,Apartment
7700,AFULA,2,4,55.5,23/05/2024,Amidar,Free,15/12/2019,Apartment
99,MIZPE RAMON,4,4,89,23/05/2024,Amidar,Free,07/06/2020,Apartment
9200,BET SHE'AN,3.5,3,68.4,23/05/2024,Amidar,Free,28/01/2024,Apartment
1061,NOF HAGALIL,1,4,34,23/05/2024,Amidar,Free,03/01/2023,Apartment
2800,QIRYAT SHEMONA,2,4,57,23/05/2024,Amidar,Free,12/06/2022,Apartment
2200,DIMONA,2,3,52,23/05/2024,Amidar,Free,07/02/2024,Apartment
2800,QIRYAT SHEMONA,3,3,57.8,23/05/2024,Amidar,Free,23/10/2022,Apartment
831,YEROHAM,2,2,44,23/05/2024,Amidar,Free,15/03/2023,Apartment
9000,BE'ER SHEVA,2.5,3,42.4,23/05/2024,Amidar,Free,07/07/2020,Apartment
4000,HAIFA,1,1,26.5,23/05/2024,Amidar,Free,10/03/2022,Apartment
2100,TIRAT KARMEL,2,4,45,23/05/2024,Amidar,Free,31/10/2023,Apartment
2034,HAZOR HAGELILIT,2,5,50,23/05/2024,Amidar,Free,02/09/2021,Apartment
2560,ARAD,2,4,38,23/05/2024,Amidar,Free,21/07/2021,Apartment
7700,AFULA,2,4,47,23/05/2024,Amidar,Free,01/09/2020,Apartment
7700,AFULA,2,4,47,23/05/2024,Amidar,Free,01/09/2020,Apartment