CityLmsName,CityLmsCode,NumOfRooms,Floor,TotalArea,ValidityDate,CompanyName,StatusName,StatusChangeDate,PropertyTypeName
אופקים,31,2,2,54,23/05/2024,עמיגור,פנויה,30/01/2024,דירה 
מגדל העמק,874,2,0,46.7,23/05/2024,עמיגור,פנויה,21/09/2023,דירה 
שדרות,1031,4,4,90,23/05/2024,עמיגור,פנויה,17/08/2023,דירה 
מגדל העמק,874,3,3,70,23/05/2024,עמיגור,פנויה,21/01/2024,דירה 
אופקים,31,3,4,54,23/05/2024,עמיגור,פנויה,13/06/2023,דירה 
אופקים,31,2,2,44.5,23/05/2024,עמיגור,פנויה,01/02/2023,דירה 
נתיבות,246,2,2,52,23/05/2024,עמיגור,פנויה,24/12/2023,דירה 
אופקים,31,2,3,55,23/05/2024,עמיגור,פנויה,24/01/2023,דירה 
אופקים,31,2,1,42,23/05/2024,עמיגור,פנויה,06/02/2024,דירה 
דימונה,2200,1.5,3,50,23/05/2024,עמידר,פנויה,13/06/2023,דירה 
ירוחם,831,3,3,72,23/05/2024,עמידר,פנויה,12/01/2022,דירה 
ירוחם,831,3,1,60,23/05/2024,עמידר,פנויה,31/12/2023,דירה 
נוף הגליל,1061,2,2,45,23/05/2024,עמידר,פנויה,25/07/2023,דירה 
דימונה,2200,3.5,3,72.6,23/05/2024,עמידר,פנויה,01/02/2024,דירה 
קרית שמונה,2800,1,2,49,23/05/2024,עמידר,פנויה,28/08/2023,דירה 
שלומי,812,3,1,71,23/05/2024,עמידר,פנויה,22/01/2023,דירה 
נוף הגליל,1061,2,2,46.9,23/05/2024,עמידר,פנויה,09/01/2024,דירה 
דימונה,2200,3,3,54,23/05/2024,עמידר,פנויה,17/07/2023,דירה 
מצפה רמון,99,3,2,58.8,23/05/2024,עמידר,פנויה,01/12/2022,דירה 
דימונה,2200,3,3,54,23/05/2024,עמידר,פנויה,16/06/2020,דירה 
עפולה,7700,2,7,54,23/05/2024,עמידר,פנויה,24/10/2023,דירה 
עפולה,7700,2,7,54,23/05/2024,עמידר,פנויה,24/10/2023,דירה 
קרית שמונה,2800,2,3,57,23/05/2024,עמידר,פנויה,15/11/2022,דירה 
קרית שמונה,2800,2,3,58.1,23/05/2024,עמידר,פנויה,17/08/2023,דירה 
באר שבע,9000,2,3,47,23/05/2024,עמידר,פנויה,20/11/2023,דירה 
דימונה,2200,3,4,67.9,23/05/2024,עמידר,פנויה,29/09/2020,דירה 
דימונה,2200,2,3,51.9,23/05/2024,עמידר,פנויה,03/12/2023,דירה 
קרית גת,2630,2,3,52,23/05/2024,עמידר,פנויה,13/12/2023,דירה 
מצפה רמון,99,3,3,55,23/05/2024,עמידר,פנויה,09/01/2023,דירה 
נוף הגליל,1061,2,4,45,23/05/2024,עמידר,פנויה,01/07/2021,דירה 
ערד,2560,1,3,30,23/05/2024,עמידר,פנויה,06/04/2021,דירה 
דימונה,2200,3,4,63.9,23/05/2024,עמידר,פנויה,17/12/2023,דירה 
ירוחם,831,3,4,72,23/05/2024,עמידר,פנויה,29/10/2019,דירה 
באר שבע,9000,2.5,2,49,23/05/2024,עמידר,פנויה,08/05/2023,דירה 
ירוחם,831,2,2,48,23/05/2024,עמידר,פנויה,16/08/2021,דירה 
אופקים,31,2.5,3,54.8,23/05/2024,עמיגור,פנויה,07/11/2022,דירה 
אופקים,31,2,4,50.2,23/05/2024,עמיגור,פנויה,19/12/2023,דירה 
אופקים,31,2,1,44.5,23/05/2024,עמיגור,פנויה,01/01/2024,דירה 
מגדל העמק,874,2,3,48,23/05/2024,עמיגור,פנויה,20/08/2023,דירה 
דימונה,2200,3,3,53.1,23/05/2024,עמידר,פנויה,09/11/2021,דירה 
באר שבע,9000,2,3,47,23/05/2024,עמידר,פנויה,31/07/2023,דירה 
פרדס חנה-כרכו,7800,1,1,40.2,23/05/2024,עמידר,פנויה,03/01/2024,דירה 
בית שאן,9200,3,3,84,23/05/2024,עמידר,פנויה,31/07/2023,דירה 
דימונה,2200,2,3,53,23/05/2024,עמידר,פנויה,31/12/2019,דירה 
מעלות-תרשיחא,1063,3,1,79,23/05/2024,עמידר,פנויה,10/02/2024,דירה 
מצפה רמון,99,3,2,72,23/05/2024,עמידר,פנויה,07/09/2023,דירה 
עכו,7600,1,2,29,23/05/2024,עמידר,פנויה,02/01/2023,דירה 
אור עקיבא,1020,1.5,2,33,23/05/2024,עמידר,פנויה,21/05/2023,דירה 
מצפה רמון,99,3,3,79,23/05/2024,עמידר,פנויה,15/11/2015,דירה 
צפת,8000,2,6,47,23/05/2024,עמידר,פנויה,10/09/2023,דירה 
קרית שמונה,2800,2,3,60.6,23/05/2024,עמידר,פנויה,19/08/2021,דירה 
קרית שמונה,2800,3,4,73,23/05/2024,עמידר,פנויה,03/12/2023,דירה 
ערד,2560,2,4,38,23/05/2024,עמידר,פנויה,03/01/2024,דירה 
מצפה רמון,99,3,3,55,23/05/2024,עמידר,פנויה,09/01/2023,דירה 
נוף הגליל,1061,2,4,45,23/05/2024,עמידר,פנויה,08/08/2023,דירה 
קרית שמונה,2800,2,2,61.7,23/05/2024,עמידר,פנויה,08/10/2023,דירה 
קרית ארבע,3611,3,3,86,23/05/2024,עמידר,פנויה,19/03/2023,דירה 
בית שאן,9200,3,4,70,23/05/2024,עמידר,פנויה,02/02/2023,דירה 
קרית שמונה,2800,3,6,73,23/05/2024,עמידר,פנויה,15/02/2023,דירה 
קרית שמונה,2800,2,5,58.5,23/05/2024,עמידר,פנויה,27/08/2023,דירה 
באר שבע,9000,2,2,45,23/05/2024,עמידר,פנויה,25/02/2022,דירה 
דימונה,2200,2,3,47,23/05/2024,עמידר,פנויה,09/03/2021,דירה 
דימונה,2200,2,3,44,23/05/2024,עמידר,פנויה,07/07/2020,דירה 
קרית שמונה,2800,2,3,57,23/05/2024,עמידר,פנויה,14/11/2022,דירה 
מעלות-תרשיחא,1063,2,3,46,23/05/2024,עמידר,פנויה,23/07/2023,דירה 
ירוחם,831,2,1,48,23/05/2024,עמידר,פנויה,23/03/2023,דירה 
מצפה רמון,99,3,2,79,23/05/2024,עמידר,פנויה,27/02/2023,דירה 
דימונה,2200,2,2,50,23/05/2024,עמידר,פנויה,01/05/2022,דירה 
קרית שמונה,2800,3,4,66,23/05/2024,עמידר,פנויה,29/03/2023,דירה 
באר שבע,9000,1,2,30,23/05/2024,עמידר,פנויה,12/12/2023,דירה 
אופקים,31,2,2,49,23/05/2024,עמיגור,פנויה,01/05/2022,דירה 
שדרות,1031,4,4,90,23/05/2024,עמיגור,פנויה,07/02/2024,דירה 
אשקלון,7100,1,2,31.5,23/05/2024,עמיגור,פנויה,11/01/2023,דירה 
אופקים,31,2,2,54,23/05/2024,עמיגור,פנויה,11/04/2022,דירה 
מגדל העמק,874,1,1,38,23/05/2024,עמיגור,פנויה,01/02/2024,דירה 
קרית שמונה,2800,1,3,51.5,23/05/2024,עמידר,פנויה,06/09/2023,דירה 
ערד,2560,2,4,47,23/05/2024,עמידר,פנויה,28/02/2022,דירה 
מעלות-תרשיחא,1063,3,4,65,23/05/2024,עמידר,פנויה,12/11/2023,דירה 
דימונה,2200,4,3,76.6,23/05/2024,עמידר,פנויה,29/07/2018,דירה 
דימונה,2200,2,4,48,23/05/2024,עמידר,פנויה,29/06/2021,דירה 
דימונה,2200,4,4,89,23/05/2024,עמידר,פנויה,05/01/2020,דירה 
דימונה,2200,2,3,48,23/05/2024,עמידר,פנויה,29/12/2021,דירה 
באר שבע,9000,2.5,2,48,23/05/2024,עמידר,פנויה,27/12/2023,דירה 
באר שבע,9000,2,2,48,23/05/2024,עמידר,פנויה,05/09/2022,דירה 
קרית שמונה,2800,2,2,67.5,23/05/2024,עמידר,פנויה,15/06/2023,דירה 
דימונה,2200,2,2,48,23/05/2024,עמידר,פנויה,05/07/2022,דירה 
דימונה,2200,3,3,53.1,23/05/2024,עמידר,פנויה,15/08/2023,דירה 
בית שאן,9200,3,4,65,23/05/2024,עמידר,פנויה,29/10/2023,דירה 
ערד,2560,1,4,30,23/05/2024,עמידר,פנויה,19/09/2023,דירה 
בית שאן,9200,3,3,84,23/05/2024,עמידר,פנויה,24/12/2023,דירה 
ערד,2560,2,4,52,23/05/2024,עמידר,פנויה,25/07/2023,דירה 
דימונה,2200,3,3,54,23/05/2024,עמידר,פנויה,02/08/2021,דירה 
קרית שמונה,2800,2,3,62.7,23/05/2024,עמידר,פנויה,04/07/2023,דירה 
עפולה,7700,2,2,46,23/05/2024,עמידר,פנויה,15/05/2022,דירה 
עפולה,7700,2,2,46,23/05/2024,עמידר,פנויה,15/05/2022,דירה 
ערד,2560,2,3,54,23/05/2024,עמידר,פנויה,22/06/2023,דירה 
דימונה,2200,3,2,58,23/05/2024,עמידר,פנויה,25/10/2021,דירה 
באר שבע,9000,2.5,1,42.4,23/05/2024,עמידר,פנויה,07/11/2022,דירה 
נוף הגליל,1061,3,3,53.3,23/05/2024,עמידר,פנויה,29/08/2022,דירה 
מצפה רמון,99,3,1,72,23/05/2024,עמידר,פנויה,14/12/2020,דירה 
נוף הגליל,1061,1,4,31.27,23/05/2024,עמידר,פנויה,09/05/2023,דירה 
קרית ארבע,3611,3,3,75,23/05/2024,עמידר,פנויה,15/10/2023,דירה 
קצרין,4100,3,2,75,23/05/2024,"שו""פ",פנויה,02/01/2023,דירה 
אופקים,31,3,2,54,23/05/2024,עמיגור,פנויה,07/11/2023,דירה 
אופקים,31,2,2,49,23/05/2024,עמיגור,פנויה,29/11/2022,דירה 
אופקים,31,2,2,55,23/05/2024,עמיגור,פנויה,03/12/2023,דירה 
אופקים,31,3,3,64,23/05/2024,עמיגור,פנויה,09/08/2022,דירה 
נתיבות,246,2,4,52,23/05/2024,עמיגור,פנויה,24/09/2020,דירה 
דימונה,2200,2,3,47,23/05/2024,עמידר,פנויה,09/02/2021,דירה 
ירוחם,831,3,3,72,23/05/2024,עמידר,פנויה,10/09/2020,דירה 
באר שבע,9000,2,4,47,23/05/2024,עמידר,פנויה,16/03/2020,דירה 
ערד,2560,2,4,52,23/05/2024,עמידר,פנויה,08/06/2022,דירה 
חצור הגלילית,2034,3,3,70,23/05/2024,עמידר,פנויה,14/04/2022,דירה 
דימונה,2200,3,4,70,23/05/2024,עמידר,פנויה,02/11/2022,דירה 
מצפה רמון,99,3,4,64.8,23/05/2024,עמידר,פנויה,18/02/2024,דירה 
באר שבע,9000,2.5,1,48.3,23/05/2024,עמידר,פנויה,03/07/2022,דירה 
קרית שמונה,2800,2,4,57,23/05/2024,עמידר,פנויה,16/03/2023,דירה 
דימונה,2200,3,3,53.1,23/05/2024,עמידר,פנויה,16/05/2022,דירה 
באר שבע,9000,2,2,51,23/05/2024,עמידר,פנויה,27/04/2021,דירה 
קרית גת,2630,2,3,48,23/05/2024,עמידר,פנויה,07/12/2023,דירה 
עפולה,7700,2,3,46.5,23/05/2024,עמידר,פנויה,04/04/2021,דירה 
עפולה,7700,2,3,46.5,23/05/2024,עמידר,פנויה,04/04/2021,דירה 
נוף הגליל,1061,1,3,37,23/05/2024,עמידר,פנויה,10/11/2022,דירה 
נוף הגליל,1061,1,5,34,23/05/2024,עמידר,פנויה,17/12/2023,דירה 
קרית שמונה,2800,3,2,63.3,23/05/2024,עמידר,פנויה,19/06/2023,דירה 
נשר,2500,2,2,57,23/05/2024,עמידר,פנויה,10/12/2023,דירה 
קרית שמונה,2800,2,4,57,23/05/2024,עמידר,פנויה,18/05/2023,דירה 
ירוחם,831,2,2,48,23/05/2024,עמידר,פנויה,05/04/2022,דירה 
באר שבע,9000,3,4,57,23/05/2024,עמידר,פנויה,08/05/2023,דירה 
באר שבע,9000,2,2,53,23/05/2024,עמידר,פנויה,06/12/2023,דירה 
בית שאן,9200,2,3,63,23/05/2024,עמידר,פנויה,04/01/2024,דירה 
באר שבע,9000,2.5,2,45,23/05/2024,עמידר,פנויה,21/12/2021,דירה 
ערד,2560,2,4,38,23/05/2024,עמידר,פנויה,29/05/2022,דירה 
קצרין,4100,1,1,44,23/05/2024,"שו""פ",פנויה,10/12/2023,דירה 
תל אביב -יפו,5000,1.5,1,31.86,23/05/2024,חלמיש,פנויה,27/11/2022,דירה 
ערד,2560,2,4,57,23/05/2024,עמידר,פנויה,03/01/2022,דירה 
קרית גת,2630,2,4,48,23/05/2024,עמידר,פנויה,07/01/2024,דירה 
חיפה,4000,1,3,40,23/05/2024,שקמונה,פנויה,01/05/2023,דירה 
קצרין,4100,3,2,75,23/05/2024,"שו""פ",פנויה,24/10/2023,דירה 
מעלה אפרים,3608,3,2,77,23/05/2024,"שו""פ",פנויה,01/01/2021,דירה 
נתיבות,246,3,3,70,23/05/2024,עמיגור,פנויה,23/11/2023,דירה 
נתיבות,246,2,3,52,23/05/2024,עמיגור,פנויה,08/12/2022,דירה 
נתיבות,246,3,4,70,23/05/2024,עמיגור,פנויה,18/09/2023,דירה 
אופקים,31,3,1,64,23/05/2024,עמיגור,פנויה,07/05/2023,דירה 
אופקים,31,2,1,37,23/05/2024,עמיגור,פנויה,09/03/2022,דירה 
אופקים,31,2,2,55,23/05/2024,עמיגור,פנויה,01/03/2023,דירה 
ירוחם,831,2,3,48,23/05/2024,עמידר,פנויה,11/04/2021,דירה 
מצפה רמון,99,3,4,72,23/05/2024,עמידר,פנויה,10/10/2023,דירה 
ערד,2560,2,4,57,23/05/2024,עמידר,פנויה,16/03/2021,דירה 
אור עקיבא,1020,1.5,2,33,23/05/2024,עמידר,פנויה,26/11/2023,דירה 
מצפה רמון,99,3,3,74,23/05/2024,עמידר,פנויה,26/02/2023,דירה 
מצפה רמון,99,3,2,58.8,23/05/2024,עמידר,פנויה,20/10/2022,דירה 
מעלות-תרשיחא,1063,2,3,46,23/05/2024,עמידר,פנויה,01/08/2022,דירה 
באר שבע,9000,2,4,47,23/05/2024,עמידר,פנויה,18/11/2019,דירה 
דימונה,2200,3,1,62,23/05/2024,עמידר,פנויה,15/12/2022,דירה 
באר שבע,9000,2,4,47,23/05/2024,עמידר,פנויה,18/10/2021,דירה 
דימונה,2200,2,4,48,23/05/2024,עמידר,פנויה,04/07/2022,דירה 
דימונה,2200,2,3,48,23/05/2024,עמידר,פנויה,12/03/2020,דירה 
קרית שמונה,2800,2,4,60.6,23/05/2024,עמידר,פנויה,28/11/2022,דירה 
דימונה,2200,2,2,46.3,23/05/2024,עמידר,פנויה,02/03/2023,דירה 
קרית גת,2630,2,3,52,23/05/2024,עמידר,פנויה,25/01/2024,דירה 
ירוחם,831,3,2,73,23/05/2024,עמידר,פנויה,25/03/2021,דירה 
דימונה,2200,3,4,63,23/05/2024,עמידר,פנויה,08/08/2021,דירה 
דימונה,2200,2.5,2,53.1,23/05/2024,עמידר,פנויה,11/04/2022,דירה 
דימונה,2200,3,4,54,23/05/2024,עמידר,פנויה,27/06/2022,דירה 
דימונה,2200,3,3,54,23/05/2024,עמידר,פנויה,30/12/2019,דירה 
באר שבע,9000,2,2,52,23/05/2024,עמידר,פנויה,28/12/2022,דירה 
דימונה,2200,3,3,53.1,23/05/2024,עמידר,פנויה,27/12/2020,דירה 
מצפה רמון,99,3,4,79,23/05/2024,עמידר,פנויה,11/10/2020,דירה 
קרית ארבע,3611,3,5,75,23/05/2024,עמידר,פנויה,29/09/2023,דירה 
שדרות,1031,3,3,61,23/05/2024,עמיגור,פנויה,23/03/2023,דירה 
ירוחם,831,3,4,72,23/05/2024,עמידר,פנויה,30/08/2020,דירה 
ירוחם,831,2,3,48,23/05/2024,עמידר,פנויה,14/12/2021,דירה 
באר שבע,9000,2.5,2,45,23/05/2024,עמידר,פנויה,11/12/2022,דירה 
מצפה רמון,99,2.5,1,53.9,23/05/2024,עמידר,פנויה,29/03/2022,דירה 
דימונה,2200,2,4,56,23/05/2024,עמידר,פנויה,14/02/2023,דירה 
מצפה רמון,99,3,4,79,23/05/2024,עמידר,פנויה,03/11/2020,דירה 
מצפה רמון,99,5,2,110,23/05/2024,עמידר,פנויה,26/08/2019,דירה 
צפת,8000,2,3,50,23/05/2024,עמידר,פנויה,09/03/2023,דירה 
קרית שמונה,2800,2,3,60.3,23/05/2024,עמידר,פנויה,14/09/2023,דירה 
באר שבע,9000,2,2,47.9,23/05/2024,עמידר,פנויה,05/12/2022,דירה 
באר שבע,9000,2,4,47,23/05/2024,עמידר,פנויה,06/01/2022,דירה 
דימונה,2200,2,2,48,23/05/2024,עמידר,פנויה,23/03/2023,דירה 
מעלות-תרשיחא,1063,2,3,46,23/05/2024,עמידר,פנויה,29/11/2022,דירה 
באר שבע,9000,2.5,2,49,23/05/2024,עמידר,פנויה,15/07/2021,דירה 
עפולה,7700,2,7,49.5,23/05/2024,עמידר,פנויה,07/12/2021,דירה 
עפולה,7700,2,7,49.5,23/05/2024,עמידר,פנויה,07/12/2021,דירה 
דימונה,2200,3,3,54,23/05/2024,עמידר,פנויה,30/08/2022,דירה 
דימונה,2200,2.5,1,42,23/05/2024,עמידר,פנויה,06/12/2023,דירה 
דימונה,2200,3,3,54,23/05/2024,עמידר,פנויה,15/02/2021,דירה 
דימונה,2200,2,4,52,23/05/2024,עמידר,פנויה,28/07/2020,דירה 
ירוחם,831,3,3,54,23/05/2024,עמידר,פנויה,31/10/2021,דירה 
חצור הגלילית,2034,2,4,48,23/05/2024,עמידר,פנויה,27/01/2022,דירה 
חצור הגלילית,2034,2,4,48,23/05/2024,עמידר,פנויה,11/08/2021,דירה 
ירוחם,831,2,1,44,23/05/2024,עמידר,פנויה,09/12/2021,דירה 
בית שאן,9200,3,2,63,23/05/2024,עמידר,פנויה,28/01/2024,דירה 
באר שבע,9000,2.5,1,48,23/05/2024,עמידר,פנויה,04/07/2023,דירה 
נוף הגליל,1061,2,5,50,23/05/2024,עמידר,פנויה,06/08/2023,דירה 
בית שמש,2610,3,4,87,23/05/2024,עמידר,פנויה,15/01/2024,דירה 
מעלה אפרים,3608,3,2,77,23/05/2024,"שו""פ",פנויה,01/11/2020,דירה 
קרית שמונה,2800,2,5,66,23/05/2024,עמידר,פנויה,06/09/2022,דירה 
מעלות-תרשיחא,1063,3,3,54,23/05/2024,עמידר,פנויה,02/03/2023,דירה 
עפולה,7700,2,3,49,23/05/2024,עמידר,פנויה,01/08/2021,דירה 
עפולה,7700,2,3,49,23/05/2024,עמידר,פנויה,01/08/2021,דירה 
בית שאן,9200,3,3,65,23/05/2024,עמידר,פנויה,01/11/2023,דירה 
ירוחם,831,3,2,76,23/05/2024,עמידר,פנויה,13/01/2022,דירה 
ערד,2560,2,4,38,23/05/2024,עמידר,פנויה,04/05/2023,דירה 
דימונה,2200,3,4,74,23/05/2024,עמידר,פנויה,31/12/2023,דירה 
עכו,7600,2,4,54,23/05/2024,עמידר,פנויה,06/06/2023,דירה 
נוף הגליל,1061,3,3,48,23/05/2024,עמידר,פנויה,28/11/2022,דירה 
בית שמש,2610,3,3,81,23/05/2024,עמידר,פנויה,13/08/2023,דירה 
קצרין,4100,2,1,52,23/05/2024,"שו""פ",פנויה,10/12/2023,דירה 
מגדל העמק,874,3,4,72,23/05/2024,עמיגור,פנויה,31/01/2024,דירה 
שדרות,1031,3,3,61,23/05/2024,עמיגור,פנויה,28/12/2022,דירה 
אופקים,31,2,3,55,23/05/2024,עמיגור,פנויה,12/03/2023,דירה 
ירוחם,831,2,3,53,23/05/2024,עמידר,פנויה,21/07/2021,דירה 
ירוחם,831,3,3,54,23/05/2024,עמידר,פנויה,13/06/2022,דירה 
דימונה,2200,2.5,3,50,23/05/2024,עמידר,פנויה,31/12/2020,דירה 
ירוחם,831,3,1,52.7,23/05/2024,עמידר,פנויה,13/02/2024,דירה 
עפולה,7700,2,2,45.8,23/05/2024,עמידר,פנויה,15/03/2022,דירה 
עפולה,7700,2,2,45.8,23/05/2024,עמידר,פנויה,15/03/2022,דירה 
באר שבע,9000,2.5,3,42.4,23/05/2024,עמידר,פנויה,25/04/2023,דירה 
דימונה,2200,3,3,59,23/05/2024,עמידר,פנויה,14/05/2020,דירה 
דימונה,2200,3,4,70,23/05/2024,עמידר,פנויה,27/04/2021,דירה 
מצפה רמון,99,2.5,2,53.9,23/05/2024,עמידר,פנויה,05/03/2023,דירה 
ירוחם,831,3,3,60,23/05/2024,עמידר,פנויה,30/09/2020,דירה 
עפולה,7700,3,3,58.7,23/05/2024,עמידר,פנויה,13/02/2024,דירה 
עפולה,7700,3,3,58.7,23/05/2024,עמידר,פנויה,13/02/2024,דירה 
קרית שמונה,2800,2,3,67.5,23/05/2024,עמידר,פנויה,07/11/2021,דירה 
קרית גת,2630,2,3,48,23/05/2024,עמידר,פנויה,06/02/2024,דירה 
ירוחם,831,3,2,65,23/05/2024,עמידר,פנויה,04/03/2019,דירה 
דימונה,2200,2,2,50,23/05/2024,עמידר,פנויה,22/02/2024,דירה 
ירוחם,831,2,1,48,23/05/2024,עמידר,פנויה,15/03/2023,דירה 
עפולה,7700,3,4,62.5,23/05/2024,עמידר,פנויה,14/01/2021,דירה 
עפולה,7700,3,4,62.5,23/05/2024,עמידר,פנויה,14/01/2021,דירה 
ירוחם,831,2,3,48,23/05/2024,עמידר,פנויה,08/08/2023,דירה 
עפולה,7700,2,2,47.1,23/05/2024,עמידר,פנויה,04/01/2021,דירה 
עפולה,7700,2,2,47.1,23/05/2024,עמידר,פנויה,04/01/2021,דירה 
ירוחם,831,3,2,76,23/05/2024,עמידר,פנויה,28/12/2021,דירה 
ירוחם,831,3,3,54,23/05/2024,עמידר,פנויה,24/03/2020,דירה 
ערד,2560,2.5,4,47,23/05/2024,עמידר,פנויה,08/07/2021,דירה 
עתלית,53,3,3,56,23/05/2024,עמידר,פנויה,23/01/2024,דירה 
באר שבע,9000,3.5,3,70,23/05/2024,עמידר,פנויה,05/09/2023,דירה 
דימונה,2200,2.5,3,48,23/05/2024,עמידר,פנויה,21/06/2020,דירה 
קצרין,4100,1,0,34,23/05/2024,"שו""פ",פנויה,01/01/2022,דירה 
קצרין,4100,2,2,48,23/05/2024,"שו""פ",פנויה,01/01/2021,דירה 
אופקים,31,2,3,54,23/05/2024,עמיגור,פנויה,03/04/2023,דירה 
דימונה,2200,3,3,53.1,23/05/2024,עמידר,פנויה,06/06/2021,דירה 
באר שבע,9000,2,3,47,23/05/2024,עמידר,פנויה,12/11/2023,דירה 
בית שאן,9200,3,3,84,23/05/2024,עמידר,פנויה,16/11/2023,דירה 
באר שבע,9000,2.5,4,54.4,23/05/2024,עמידר,פנויה,29/12/2020,דירה 
גדידה-מכר,1292,3,3,71,23/05/2024,עמידר,פנויה,03/11/2021,דירה 
דימונה,2200,3,3,62,23/05/2024,עמידר,פנויה,16/02/2021,דירה 
דימונה,2200,3,2,53.1,23/05/2024,עמידר,פנויה,26/09/2023,דירה 
מצפה רמון,99,3,2,64.8,23/05/2024,עמידר,פנויה,20/04/2023,דירה 
ירוחם,831,2,1,48,23/05/2024,עמידר,פנויה,06/10/2021,דירה 
מצפה רמון,99,3,3,64.8,23/05/2024,עמידר,פנויה,09/08/2020,דירה 
מצפה רמון,99,3,1,65,23/05/2024,עמידר,פנויה,01/06/2023,דירה 
דימונה,2200,2,2,46.3,23/05/2024,עמידר,פנויה,14/02/2024,דירה 
באר שבע,9000,2,4,56,23/05/2024,עמידר,פנויה,20/12/2023,דירה 
ערד,2560,2,4,38,23/05/2024,עמידר,פנויה,09/11/2023,דירה 
עפולה,7700,2,4,55.5,23/05/2024,עמידר,פנויה,15/12/2019,דירה 
עפולה,7700,2,4,55.5,23/05/2024,עמידר,פנויה,15/12/2019,דירה 
מצפה רמון,99,4,4,89,23/05/2024,עמידר,פנויה,07/06/2020,דירה 
בית שאן,9200,3.5,3,68.4,23/05/2024,עמידר,פנויה,28/01/2024,דירה 
נוף הגליל,1061,1,4,34,23/05/2024,עמידר,פנויה,03/01/2023,דירה 
קרית שמונה,2800,2,4,57,23/05/2024,עמידר,פנויה,12/06/2022,דירה 
דימונה,2200,2,3,52,23/05/2024,עמידר,פנויה,07/02/2024,דירה 
קרית שמונה,2800,3,3,57.8,23/05/2024,עמידר,פנויה,23/10/2022,דירה 
ירוחם,831,2,2,44,23/05/2024,עמידר,פנויה,15/03/2023,דירה 
באר שבע,9000,2.5,3,42.4,23/05/2024,עמידר,פנויה,07/07/2020,דירה 
חיפה,4000,1,1,26.5,23/05/2024,עמידר,פנויה,10/03/2022,דירה 
טירת כרמל,2100,2,4,45,23/05/2024,עמידר,פנויה,31/10/2023,דירה 
חצור הגלילית,2034,2,5,50,23/05/2024,עמידר,פנויה,02/09/2021,דירה 
ערד,2560,2,4,38,23/05/2024,עמידר,פנויה,21/07/2021,דירה 
עפולה,7700,2,4,47,23/05/2024,עמידר,פנויה,01/09/2020,דירה 
עפולה,7700,2,4,47,23/05/2024,עמידר,פנויה,01/09/2020,דירה 